item,a,b
A61452,1.37799411867443,0.584344424468867
A61948,1.50861282510257,-0.876285197635423
A62228,0.640942829741686,-0.0175098929948886
A62470,1.53198422331249,-0.777088158141344
A62952,0.646565482797549,1.53569318265
A62974,1.25131181120501,-1.20305460240613
A63100,0.311099402002004,-4.47010862600931
A63115,0.88407192887034,0.781424341810812
A63131,1.14567857494518,-1.41269788287272
A63207,1.29121178755894,-1.37640616189265
A63283,0.736262503747048,1.00477164431927
A63338,2.05042494869947,-1.51770021715307
A63408,0.787009984112157,0.208254567122321
A63424,0.738144122230584,1.20150687319803
A63552,0.713212313841722,-0.565569461853072
A63556,1.98270363740667,-1.22161441869606
A63562,0.0104584676347002,-19.6717292757243
A63768,1.04825270742594,1.25537856411612
A63979,1.6345378684283,-1.7065744211319
A64443,0.579571106917584,-1.42044977892235
A64540,1.23534038397951,-0.309350385579888
A64589,0.954980794038356,-0.71308024686712
A64627,1.70090949984299,-2.25565182554853
A64793,1.26375105806954,-1.425158905301
A64852,0.914687990213748,-0.491105848106294
A64974,1.61207769339527,-1.19465524608178
A65297,0.258908546990798,-0.619003150906581
A65457,0.747687908619759,-1.82994579913553
A65517,1.47236645392136,-2.56394811203641
A65547,1.12194012742401,-1.07352482996876
A65640,1.4913117638312,-1.07488290166015
A65754,1.25019858303278,-0.383458382017962
A65829,0.327094143081351,-0.236042842864599
A65944,1.12372518993299,-1.61211650403775
A65950,1.29415885436171,-0.704734559800424
A66205,1.80447409342099,-0.59212781204457
A66233,0.212883595261954,-2.03141428637921
A66252,0.400322387762237,-4.96939587689126
A66268,1.53560740110188,-2.04780056192376
A66271,1.23361219867237,-2.47957929717559
A66347,1.50835540395543,-0.657971440136852
A66383,0.0832949923798694,12.1278897217169
A66460,1.31488799586786,-1.02802251719993
A66523,1.56327518411444,-0.898339598443095
A66704,0.267917807676115,10.1857286831913
A66720,0.736009322628918,-2.6847947350868
A66961,1.77002950308708,-0.566854233420909
A67015,0.695543938919154,-1.10829738639826
A67089,1.56158576778002,-1.51667331054754
A67125,0.316877768764059,-1.02477455653809
A67263,2.55426236191094,-2.12563378613368
A67291,0.857263364492638,0.24851315517598
A67415,1.11191215584395,-0.0420904678483958
A67478,2.09891286115289,-1.96307783580083
A67481,1.36980666062967,0.828380356007701
A67488,1.80895900787206,-2.25503543114126
A67609,0.158190254615963,-0.8727360995497
A67645,1.60588018067328,-1.32547623414463
A67852,1.0146945391101,-1.27804876313008
A67865,1.11274117252212,-2.09872572320236
A67915,1.76266844008585,-1.67083017906842
A68343,1.72743981913504,-2.10175642120973
A68349,1.75301309694931,-0.66366911520171
A68383,1.1823179795919,0.206353194409754
A68393,0.475071460322477,-0.0227664028528107
A68461,1.08048413943475,-1.11661948541631
A68472,0.529654339512433,0.393505453708059
A68603,1.77670384685043,-2.12583295545495
A68652,1.02717003075368,-1.02370572750918
A69096,0.843409464905321,1.46844707459537
A69098,0.766999684553552,0.465478407173258
A69163,0.732583654545438,-3.63394988787452
A69176,0.638804909467294,-1.87204523029695
A69327,0.40856612401265,-0.974786110225507
A69357,1.08907670494884,-0.692081357751349
A69388,3.99660037366522,-1.57199718771525
A69416,1.33742391167499,-2.26801299394837
A69444,1.49654556497188,-1.1569981820299
A69646,0.732732313449865,-0.585807472945844
A69728,0.330422647664428,-3.28046505176596
A69838,1.65217433585709,-0.068575471698243
A69980,0.317128532711068,-1.72335733078148
A70031,1.97736147451562,-1.56361162704022
A70122,0.623573579259914,0.0828159958497149
A70244,0.15207787213595,7.45270399167739
A70457,0.777517614256441,0.917568099047228
A70483,0.0147911394618953,12.5419146587194
A70535,2.30445181787798,-1.67604777541261
A70537,0.102543137289954,-8.72102849752796
A70540,0.597860850752183,1.0540500203358
A70549,3.44952870731253,-1.42998083985568
A70550,1.00544705476698,-0.456078326985486
A70554,0.590551901152535,-0.915525450015872
A70558,1.93967943742073,-0.360889228914831
A70567,0.379915364725545,0.795779801027728
A70572,0.956055546405852,-1.11532659106259
A70579,0.918096116314609,-1.13445382552501
A70581,0.292920285568073,-1.06738387656812
A70585,1.27252553655693,-1.17786395604014
A70589,1.63301128024649,-0.293497924289538
A70592,1.59327616308435,-1.43759701643098
A70597,0.375128093183179,-7.6324752840173
A70601,1.54958923551105,-1.64277173599523
A70604,1.28532354382462,0.859741103020606
A70625,0.135485589657594,-8.50744248439688
A70627,1.2159991300689,-1.04513056352403
A70646,0.399429328522692,-0.526090840366314
A70657,1.40827449376018,-0.75357838075746
A70659,1.16089100366617,-0.238315291069221
A70667,1.12661671105593,-0.603376228889812
A70679,0.9828741096337,-1.95207400860383
A70683,1.25583952412428,-1.45411055093109
A70691,0.0717793094597543,10.5852629171583
A70692,0.792324504840937,-1.12015220675575
A70695,0.454380384027963,-5.41025212729501
A70702,0.71439615451165,-0.8185887852306
A70704,0.309112242476906,-2.17970982038219
A70707,1.55406056490041,-1.97105922088421
A70708,0.973310369966345,-1.86451043077189
A70714,0.830270330168497,-0.996848957112134
A70720,0.225314037644116,-2.78935042822478
A70729,1.63184795944355,-1.29245266158767
A70731,0.390260694381681,-3.62599166318938
A70734,0.171046022896643,-1.43246737887563
A70738,2.9154841483232,-1.46483512825914
A70741,1.1920382075589,-0.0579589364245001
A70764,1.75817575148919,-2.27885125113772
A70772,0.257710048722604,2.51028009464167
A70773,2.05167488144543,-1.3014251366577
A70774,0.683135595298981,1.14026027697452
A70780,0.665123041941146,-0.411111538965687
A70787,0.585727503598888,2.22975533831159
A70817,1.05187447356745,-0.116988569949637
A70819,1.69972706578919,-1.22972256574703
A70826,0.404292020949243,-1.8069700556729
A70832,1.14822068754206,-0.3492194326345
A70835,2.64330078038357,-0.487784386463515
A70836,0.516770617918901,-2.66891336966992
A70842,1.65206546443366,-1.15870336961966
A70843,1.00207736600487,-0.472777849407441
A70847,1.01528597828216,-2.1196511539705
A70851,1.09471303056719,-1.14971234728862
A70854,1.12199713199258,-0.87014306957911
A70858,0.825374336991061,1.10620463759896
A70869,1.58571730605892,-0.924355986050377
A70873,1.39858899767345,-1.44737285975652
A70894,1.37109751989323,-1.44765126385104
A70897,1.17627241362773,-1.07837702970638
A70902,1.20525196811012,-2.28316027746448
A70905,0.51654173268461,-1.95510470728198
A70908,1.31279818003629,-3.72411706959297
A70909,0.496719598567861,-4.20728899012606
A70921,1.13426318903728,-3.15172704324445
A70927,1.01553015342867,-0.309890836572601
A70942,0.540784210682218,-0.87420741159524
A70944,2.92778833319443,-1.63187306754278
A70945,1.31286769714383,-0.98872937632
A70955,0.0052830548034021,133.666986168704
A70956,1.05147000804898,-1.26663787637567
A70965,1.50148046232733,-0.659868230848034
A70978,0.892592320426614,-1.0654538906027
A70981,0.102154604501444,-8.55975276493312
A70984,0.375239030532042,-3.54980306172023
A70986,1.43701752431074,-2.1465078985551
A70987,0.179218808202762,-7.09964750073141
A70989,1.52085185577542,-1.12520645145882
A70990,0.147198249152876,14.3086234956706
A70995,1.92123207710626,-0.681237123747684
A70999,0.167163748768968,-7.06065543073597
A71000,0.450294278563383,-5.74375179423781
A71006,1.85500540648905,-0.888933233922529
A71011,0.506320147155978,0.251451087950101
A71020,0.38032358993218,-4.59036592687217
A71026,1.08744207859698,-1.16049411632692
A71047,0.824062130589976,-0.102145129420034
A71069,1.19669133128844,-1.32631680856735
A71075,0.354789428285051,2.40962160311499
A71076,1.16879192239131,-1.37515735451108
A71078,1.51276617706108,0.543657629709511
A71080,0.869316491089351,-0.259715424333191
A71087,2.1768860143542,-1.42012212577367
A71094,1.35440314102098,-3.03583576498475
A71096,1.88656238162032,-1.72587632930908
A71097,0.332603156329643,3.12708213310037
A71099,0.272296683196989,-5.78193116040749
A71100,1.97673695031486,-0.602753833999701
A71101,1.29983729219383,-1.03674710246182
A71102,2.28043823613469,-0.793860455439043
A71116,1.15733066931902,-0.509806567545196
A71120,1.87286168868295,-1.03985348429211
A71121,0.850930045256134,-0.791422405739547
A71123,1.02110498047981,-2.90148851564055
A71148,0.909928477251639,-0.97928179254532
A71149,0.834395065376121,-3.0141092065696
A71152,1.86059077926854,-0.768526454111906
A71156,0.333685975391088,-4.98586253325109
A71169,0.597087215241417,-2.83594333918414
A71176,1.25013929488009,-2.17527063611323
A71177,1.23215022834057,0.267725315628993
A71180,2.19460292223311,-0.429581560028926
A71185,1.08979805603837,-0.492293444433051
A71188,1.10685052347613,-2.26677548810649
A71196,1.03245179447551,-2.16898743205148
A71197,2.28944605616798,-2.2160603546589
A71199,0.397644495657247,0.333610922291015
A71206,0.860365543674874,-0.127799698061398
A71208,1.52741124808339,-1.37674643703575
A71211,2.94323999589753,-1.51599777559598
A71224,1.10123669628795,-1.9892531447764
A71239,1.73533699862174,-1.95466790954048
A71241,1.28711569254992,-0.641914652719034
A71253,1.55408825657063,-2.02784599403586
A71254,1.029899273479,-1.6953147855084
A71257,1.05505103398691,-1.7889329289442
A71264,1.3008949946547,-0.438577245685817
A71272,3.4997370141677,-1.23916031144492
A71282,1.70276595177346,-1.47372097308581
A71284,0.338452146923879,3.6542073272167
A71306,1.67507871228114,-0.711889439585553
A71312,0.378600787243726,-1.23744358177136
A71313,0.108839199250791,-1.06743084605908
