a,b,c
1.437662756518075291e+00,1.396424436248261625e+00,2.569278989399472191e-01
1.286538989116932097e+00,9.128128772158863313e-01,2.111501014522916275e-01
1.064790292348370304e+00,-1.098641713894170202e+00,2.506360703049630989e-01
1.202410051105974542e+00,-6.699795303293410997e-01,2.841522460604894440e-01
8.907100193969937907e-01,-1.451040479279224193e+00,2.466199269019057894e-01
9.722974298499209578e-01,-7.358253765491407083e-01,2.108267384948201706e-01
1.232638392067949562e+00,1.182916566128309643e+00,2.700589023393429322e-01
7.633068184619200558e-01,-9.221940634564486095e-01,1.906786992458018581e-01
6.527816243581014977e-01,-6.316358247260344116e-01,1.778285934141299873e-01
1.028348595821669376e+00,6.778481315384786710e-01,1.076208913335828798e-01
1.582469207662258626e+00,1.358442095896147173e+00,2.267755617129013079e-01
8.919316127886613987e-01,-6.813905789697003446e-01,2.915126518331233041e-01
1.001044077666888743e+00,-9.955561159761995571e-02,2.945795501648349468e-01
1.328291477546597266e+00,-1.628619414589592251e+00,2.797644991702092354e-01
1.291821780128256325e+00,1.064664207878606383e+00,1.401731190565372320e-01
1.459391237757835302e+00,1.121803311184340401e+00,2.279599460008102652e-01
1.213090563188936599e+00,-2.120279608117455972e+00,2.953359217603684361e-01
1.280814650040046798e+00,-1.799649756530729838e-01,2.811505922916529010e-01
1.075334321642945179e+00,-4.676136807211876967e-01,1.743689658569912981e-01
1.093944089303447553e+00,-7.340199375412140848e-01,2.584029978648767489e-01
1.476332711893413752e+00,3.800902966508035163e-01,1.149761166400335155e-01
1.022552892294224636e+00,1.664041398156985263e+00,1.966864138924296068e-01
1.187165121234271981e+00,-5.455261464403230592e-02,1.066800622709693780e-01
9.271547892082521169e-01,4.167568809191930790e-02,1.738029321946414352e-01
1.320983223017501818e+00,1.012042928035117306e+00,2.108990017524299265e-01
1.103543909985556182e+00,-4.664168220873768922e-01,1.734164806470271936e-01
1.145055724653973650e+00,-7.080058277967861413e-02,2.767199159992404511e-01
1.808545053181339846e+00,-7.150366405408844495e-01,2.957311732009925143e-01
8.689304313637373767e-01,5.899443631531930965e-01,2.880635505484329673e-01
1.105052691711533308e+00,3.232638448487636929e-01,2.191250734557119995e-01
1.270256751903471759e+00,1.780406393197553561e+00,2.514635556539797645e-01
1.360685032987682508e+00,5.824990705393657819e-01,1.644616862348717290e-01
1.077002034789093399e+00,-1.407451871100527718e+00,2.650779792350922981e-01
9.449990245725250482e-01,9.493984152268388765e-01,1.840209712155246313e-01
8.945291383594385914e-01,1.928233195271318312e+00,1.885337897797748630e-01
1.406404000646014119e+00,1.542471026370338505e+00,1.462767123705718264e-01
1.038323015276103156e+00,-3.192983877757790689e-01,2.807077038611056619e-01
1.292872403262269598e+00,-1.502143114486606867e+00,1.878836658371005053e-01
1.171919112754740144e+00,-2.881557523386806680e-02,1.677469680069637592e-01
1.096987867956632945e+00,-7.193816317008813188e-01,2.090940653326241738e-01
9.441605748442172263e-01,-5.815589563969391501e-02,1.495610993475074424e-01
1.163925509221155785e+00,-6.314322814672800044e-02,2.068937849976370258e-01
7.484947809198329027e-01,-1.832007294703236200e-01,1.027137769802795031e-01
1.310203435893857238e+00,1.134149519227674485e+00,2.934609767031283734e-01
